Frequent itemsets
{A},66.6667
{B},83.3333
{C},50
{E},50
{F},33.3333
{A,B},50
{A,C},50
{B,C},33.3333
{B,E},50
{B,F},33.3333
{E,F},33.3333
{A,B,C},33.3333
{B,E,F},33.3333

Association rules
"A","B", 75, 50
"B","A", 60, 50
"A","B,C", 50, 33.3333
"B","A,C", 40, 33.3333
"A,B","C", 66.6667, 33.3333
"C","A,B", 66.6667, 33.3333
"A,C","B", 66.6667, 33.3333
"B,C","A", 100, 33.3333
"A","C", 75, 50
"C","A", 100, 50
"B","C", 40, 33.3333
"C","B", 66.6667, 33.3333
"B","E", 60, 50
"E","B", 100, 50
"B","E,F", 40, 33.3333
"E","B,F", 66.6667, 33.3333
"B,E","F", 66.6667, 33.3333
"F","B,E", 100, 33.3333
"B,F","E", 100, 33.3333
"E,F","B", 100, 33.3333
"B","F", 40, 33.3333
"F","B", 100, 33.3333
"E","F", 66.6667, 33.3333
"F","E", 100, 33.3333
